,0,1,2,3,4,5,6,7,8,9,10
1,Text-to-speech,tts,transformer,19,512,1.2416589260101318,18,3.0,g,67538649088,0
2,Object detection,ssd,cnn,50,0,0.023010969161987305,27964214,2.6,g,67538649088,0
0,Natural Language Processing,bert,transformer,12,768,0.052083730697631836,126,1.7,g,67538649088,0.47327769886363635
4,Image classification,resnet,cnn,18,0,0.07703781127929688,27964214,2.9,g,67538649088,0
3,Speech-to-text,stt,transformer,19,512,0.4321920871734619,1005296,4.1,g,67538649088,0
